name, republican voters, democratic voters, total voters, population, turnout
"Autauga, Alabama","18110","5908","24661","55416","0.4450"
"Baldwin, Alabama","72780","18409","94090","208563","0.4511"
"Barbour, Alabama","5431","4848","10390","25965","0.4002"
"Bibb, Alabama","6733","1874","8748","22643","0.3863"
"Blount, Alabama","22808","2150","25384","57704","0.4399"
"Bullock, Alabama","1139","3530","4701","10362","0.4537"
"Butler, Alabama","4891","3716","8685","19998","0.4343"
"Calhoun, Alabama","32803","13197","47376","114611","0.4134"
"Chambers, Alabama","7803","5763","13778","33843","0.4071"
"Cherokee, Alabama","8809","1524","10503","25725","0.4083"
"Chilton, Alabama","15068","2909","18255","43941","0.4154"
"Choctaw, Alabama","4102","3109","7268","12993","0.5594"
"Clarke, Alabama","7109","5712","12936","24392","0.5303"
"Clay, Alabama","5230","1234","6572","13492","0.4871"
"Cleburne, Alabama","5738","684","6532","14924","0.4377"
"Coffee, Alabama","15825","4194","20513","51226","0.4004"
"Colbert, Alabama","16718","7296","24626","54216","0.4542"
"Conecuh, Alabama","3413","3069","6543","12395","0.5279"
"Coosa, Alabama","3376","1780","5223","10581","0.4936"
"Covington, Alabama","13222","2379","15818","37458","0.4223"
"Crenshaw, Alabama","4511","1663","6252","13913","0.4494"
"Cullman, Alabama","32734","3730","37278","82471","0.4520"
"Dale, Alabama","13798","4408","18617","49226","0.3782"
"Dallas, Alabama","5784","12826","18730","40008","0.4682"
"DeKalb, Alabama","21779","3682","26086","70900","0.3679"
"Elmore, Alabama","27619","8436","36905","81799","0.4512"
"Escambia, Alabama","10282","4698","15213","37728","0.4032"
"Etowah, Alabama","32132","10350","43474","102564","0.4239"
"Fayette, Alabama","6705","1358","8196","16546","0.4953"
"Franklin, Alabama","9466","2197","11955","31628","0.3780"
"Geneva, Alabama","9967","1522","11659","26614","0.4381"
"Greene, Alabama","838","4006","4862","8422","0.5773"
"Hale, Alabama","3172","4772","8010","14952","0.5357"
"Henry, Alabama","5623","2286","8017","17164","0.4671"
"Houston, Alabama","30567","10547","42030","104056","0.4039"
"Jackson, Alabama","16643","3663","20785","52138","0.3987"
"Jefferson, Alabama","130614","151581","290111","659521","0.4399"
"Lamar, Alabama","5819","1035","6931","13918","0.4980"
"Lauderdale, Alabama","27735","9877","38813","92318","0.4204"
"Lawrence, Alabama","10732","3611","14623","33244","0.4399"
"Lee, Alabama","34321","20987","57668","158991","0.3627"
"Limestone, Alabama","28824","9340","39400","92753","0.4248"
"Lowndes, Alabama","1751","4882","6676","10358","0.6445"
"Macon, Alabama","1394","7237","8748","18963","0.4613"
"Madison, Alabama","89199","62435","159473","356967","0.4467"
"Marengo, Alabama","5224","5607","10948","19673","0.5565"
"Marion, Alabama","11273","1432","12912","29998","0.4304"
"Marshall, Alabama","29217","4913","34965","95157","0.3674"
"Mobile, Alabama","91087","68429","163387","414836","0.3939"
"Monroe, Alabama","5771","4310","10185","21530","0.4731"
"Montgomery, Alabama","33928","58669","94572","226349","0.4178"
"Morgan, Alabama","37392","11216","49991","119012","0.4201"
"Perry, Alabama","1403","3823","5255","9574","0.5489"
"Pickens, Alabama","5454","3972","9494","20324","0.4671"
"Pike, Alabama","7681","5039","13025","33286","0.3913"
"Randolph, Alabama","7697","2290","10130","22652","0.4472"
"Russell, Alabama","9210","9577","19136","58172","0.3290"
"Shelby, Alabama","72846","22927","99208","210622","0.4710"
"St. Clair, Alabama","31579","5550","37937","88019","0.4310"
"Sumter, Alabama","1581","4739","6391","13040","0.4901"
"Talladega, Alabama","20596","12108","33218","80103","0.4147"
"Tallapoosa, Alabama","12967","5271","18504","40727","0.4543"
"Tuscaloosa, Alabama","47701","31746","81708","206102","0.3964"
"Walker, Alabama","24208","4486","29243","64967","0.4501"
"Washington, Alabama","6031","2366","8492","16756","0.5068"
"Wilcox, Alabama","1737","4329","6095","10986","0.5548"
"Winston, Alabama","9225","871","10255","23805","0.4308"
"Arkansas, Arkansas","3825","1939","6167","18214","0.3386"
"Ashley, Arkansas","5338","2408","8027","20492","0.3917"
"Baxter, Arkansas","14655","4163","19572","41062","0.4766"
"Benton, Arkansas","60751","27894","94262","258291","0.3649"
"Boone, Arkansas","12225","2925","15912","37304","0.4265"
"Bradley, Arkansas","2163","1317","3617","10996","0.3289"
"Calhoun, Arkansas","1554","636","2250","5144","0.4374"
"Carroll, Arkansas","6773","3334","10656","27646","0.3854"
"Chicot, Arkansas","1716","2350","4149","10945","0.3791"
"Clark, Arkansas","4398","3606","8365","22657","0.3692"
"Clay, Arkansas","3779","1999","5978","14920","0.4007"
"Cleburne, Arkansas","9454","2101","11968","25264","0.4737"
"Cleveland, Arkansas","2460","723","3299","8241","0.4003"
"Columbia, Arkansas","5456","3140","8837","23901","0.3697"
"Conway, Arkansas","4844","2655","7837","20937","0.3743"
"Craighead, Arkansas","22798","10474","34968","105835","0.3304"
"Crawford, Arkansas","16655","4476","22155","62267","0.3558"
"Crittenden, Arkansas","6953","8368","15798","49235","0.3209"
"Cross, Arkansas","4577","1995","6831","17037","0.4010"
"Dallas, Arkansas","1507","1165","2741","7469","0.3670"
"Desha, Arkansas","1915","2227","4226","11876","0.3558"
"Drew, Arkansas","3967","2364","6552","18651","0.3513"
"Faulkner, Arkansas","29170","14525","46364","122227","0.3793"
"Franklin, Arkansas","5034","1376","6698","17626","0.3800"
"Fulton, Arkansas","3470","1067","4744","12123","0.3913"
"Garland, Arkansas","26053","12283","40337","97477","0.4138"
"Grant, Arkansas","5160","1407","6855","18082","0.3791"
